subset_data
State,Year,County,Diabetes
VA,1/1/2014,Albemarle County,0.107
VA,1/1/2015,Albemarle County,0.103
VA,1/1/2014,Alexandria city,0.064
VA,1/1/2015,Alexandria city,0.062
VA,1/1/2014,Alleghany County,0.103
VA,1/1/2015,Alleghany County,0.101
VA,1/1/2014,Amelia County,0.112
VA,1/1/2015,Amelia County,0.118
VA,1/1/2014,Amherst County,0.129
VA,1/1/2015,Amherst County,0.148
VA,1/1/2014,Appomattox County,0.124
VA,1/1/2015,Appomattox County,0.11
VA,1/1/2014,Arlington County,0.054
VA,1/1/2015,Arlington County,0.053
VA,1/1/2014,Augusta County,0.099
VA,1/1/2015,Augusta County,0.098
VA,1/1/2014,Bath County,0.115
VA,1/1/2015,Bath County,0.116
VA,1/1/2014,Bedford County,0.096
VA,1/1/2015,Bedford County,0.103
VA,1/1/2014,Bedford city,0.128
VA,1/1/2015,Bedford city,0.133
VA,1/1/2014,Bland County,0.115
VA,1/1/2015,Bland County,0.116
VA,1/1/2014,Botetourt County,0.104
VA,1/1/2015,Botetourt County,0.118
VA,1/1/2014,Bristol city,0.114
VA,1/1/2015,Bristol city,0.117
VA,1/1/2014,Brunswick County,0.135
VA,1/1/2015,Brunswick County,0.127
VA,1/1/2014,Buchanan County,0.119
VA,1/1/2015,Buchanan County,0.124
VA,1/1/2014,Buckingham County,0.124
VA,1/1/2015,Buckingham County,0.135
VA,1/1/2014,Buena Vista city,0.101
VA,1/1/2015,Buena Vista city,0.101
VA,1/1/2014,Campbell County,0.102
VA,1/1/2015,Campbell County,0.1
VA,1/1/2014,Caroline County,0.12
VA,1/1/2015,Caroline County,0.119
VA,1/1/2014,Carroll County,0.119
VA,1/1/2015,Carroll County,0.11
VA,1/1/2014,Charles City County,0.143
VA,1/1/2015,Charles City County,0.142
VA,1/1/2014,Charlotte County,0.128
VA,1/1/2015,Charlotte County,0.123
VA,1/1/2014,Charlottesville city,0.072
VA,1/1/2015,Charlottesville city,0.075
VA,1/1/2014,Chesapeake city,0.097
VA,1/1/2015,Chesapeake city,0.109
VA,1/1/2014,Chesterfield County,0.099
VA,1/1/2015,Chesterfield County,0.098
VA,1/1/2014,Clarke County,0.109
VA,1/1/2015,Clarke County,0.111
VA,1/1/2014,Colonial Heights city,0.112
VA,1/1/2015,Colonial Heights city,0.113
VA,1/1/2014,Covington city,0.115
VA,1/1/2015,Covington city,0.11
VA,1/1/2014,Craig County,0.101
VA,1/1/2015,Craig County,0.111
VA,1/1/2014,Culpeper County,0.1
VA,1/1/2015,Culpeper County,0.101
VA,1/1/2014,Cumberland County,0.13
VA,1/1/2015,Cumberland County,0.132
VA,1/1/2014,Danville city,0.124
VA,1/1/2015,Danville city,0.135
VA,1/1/2014,Dickenson County,0.119
VA,1/1/2015,Dickenson County,0.114
VA,1/1/2014,Dinwiddie County,0.126
VA,1/1/2015,Dinwiddie County,0.127
VA,1/1/2014,Emporia city,0.131
VA,1/1/2015,Emporia city,0.132
VA,1/1/2014,Essex County,0.132
VA,1/1/2015,Essex County,0.138
VA,1/1/2014,Fairfax County,0.078
VA,1/1/2015,Fairfax County,0.066
VA,1/1/2014,Fairfax city,0.088
VA,1/1/2015,Fairfax city,0.081
VA,1/1/2014,Falls Church city,0.095
VA,1/1/2015,Falls Church city,0.097
VA,1/1/2014,Fauquier County,0.103
VA,1/1/2015,Fauquier County,0.104
VA,1/1/2014,Floyd County,0.113
VA,1/1/2015,Floyd County,0.113
VA,1/1/2014,Fluvanna County,0.1
VA,1/1/2015,Fluvanna County,0.105
